ที่	tʰîː	at	เขาได้รับรางวัลที่ 1 ในการประกวดวาดภาพ
ได้	dâj	can	นักท่องเที่ยวได้ข้อมูลนี้จากหนังสือนำเที่ยว
จะ	tɕàʔ	will	การอนุรักษ์สิ่งแวดล้อมจะสัมฤทธิ์ผลได้ถ้าทุกคนร่วมมือกัน
นี้	níː	this	ศาลมีคำพิพากษาถึงที่สุดว่าการสมรสของบุคคลคู่นี้ เป็นโมฆะแล้ว
ว่า	wâː	that; think	”ภาษา” เป็นคำที่มาจากรากศัพท์ “ภาษ” แปลว่าพูด
เป็น	pen	is; be able	แมวที่อาจารย์เลี้ยงไว้มีอยู่หลายตัวเป็นแมวจรจัด
มี	miː	have; there is	อาหารหลักที่สำคัญต่อชีวิตเรามี 5 หมู่
ให้	hâj	for	ยานอนหลับและยากล่อมประสาทห้ามซื้อกินเอง ถ้าจะกินต้องให้หมอสั่งยา
ต้อง	tɔ̂ŋ	must	มนุษย์เราจำเป็นต้องใช้ชีวิตร่วมกับผู้อื่น
ของ	kʰɔ̌ːŋ	of	ชมรมค่ายอาสาพัฒนาขอบริจาคของที่เหลือใช้จากประชาชนทั่วไป
กับ	kàp	with	เขาวางเหยื่อล่อเพื่อให้หนูมาติดกับ
ไม่	mâj	not	นมข้นหวานก็เป็นนมที่มีความหวานมากเกินไปไม่เหมาะสำหรับเด็ก
และ	lɛ́ʔ	and	เครื่องจักรทุกชนิดจะต้องมีมนุษย์เป็นผู้ควบคุมและสั่งการใช้งาน
ใน	naj	in	เขาต้องการจะสอบเข้าเรียนในมหาวิทยาลัยมหิดล
กัน	kan	together	เธอและเขารักกันมานานแล้ว
ขึ้น	kʰɯ̂n	increase; up	ตอนนี้ชะตาของเขากำลังขึ้น ทำอะไรก็รวยไปหมด
ด้วย	dûaj	with; also	หัวหน้าไปกินข้าวด้วยกับลูกน้องทุกครั้ง
จาก	tɕàːk	from	ทางแถบชายฝั่งทะเลภาคตะวันออกจะเห็นจากขึ้นอยู่ทั่วไป
การ	kaːn	the process of; work; job	คนที่ประสบความสำเร็จในงานนั้นเป็นคนที่ขยันทำการทุกอย่างด้วยตนเอง
ไป	paj	go	เขาไปกรุงโรม
มา	maː	come	เขามาตั้งแต่เมื่อตอนเช้ามืดแล้ว
ถึง	tʰɯ̌ŋ	reach; arrive at	ถึงพ่อจะใจดีแค่ไหน ท่านก็คงจะไม่อนุญาตให้เราไปเที่ยวกลางคืน
กว่า	kwàː	than	คนน้องสูงกว่าคนพี่มาก
ทั้ง	tʰáŋ	all; both	เด็กๆ ดีใจกันทั้งโรงเรียน
เมื่อ	mɯ̂ːa	when	เมื่อระดับน้ำสูงท่วมรากพืชมันก็จะเริ่มเน่าเพราะรากแช่น้ำ
คน	kʰon	person	ในสมัยก่อนคนยังอาศัยอยู่ในถ้ำ และใช้อาวุธง่ายๆ ในการล่าสัตว์
แต่	tɛ̀ː	but	คราวใดที่แม่สั่งให้ซื้อผลไม้ แม่ต้องกำชับว่าให้เลือกแต่ลูกโตๆ
อยู่	jùː	located; present; exists	สายตาทุกคู่หันมาจับจ้องเขามีแววสงสัยเหมือนอย่างอยากรู้เรื่องที่เขากำลังพูดอยู่
ก็	kɔ̂ː	then	ญี่ปุ่นก็เป็นอีกชาติหนึ่งที่กำลังทุ่มเททางด้านคอมพิวเตอร์เป็นอย่างมาก
เรื่อง	rɯ̂ːaŋ	subject; story	ความเจ็บปวดในเรื่องความหิวกระหาย เป็นเรื่องที่ทำให้คนแสดงพฤติกรรมที่เข้าหา
อย่าง	jàːŋ	type; like	โครงสร้างของสะพานรถไฟบางอย่างออกแบบไว้สำหรับการบรรทุกน้ำมันเครื่องเคมีที่เป็นของเหลวแ
ความ	kʰwaːm	matter; affair; subject	คดีที่เป็นตัวอย่างการพิจารณาความอาญาเก็บไว้ในห้องสมุด
นั้น	nán	that	การนำเสนอของเราวันนี้น่าจะทำได้ดีกว่านั้น
มาก	mâːk	much	สัตว์และมนุษย์ไม่มีอะไรแตกต่างกันมาก
แล้ว	lɛ́ːw	already	กลุ่มผู้ชุมนุมได้ทำการปิดถนนบางนา-ตราดทั้งหมดแล้ว
ถูก	tʰùːk	cheap	มือของผมบังเอิญไปถูกเขา แค่นี้เขาก็หันมาจ้องหน้าผม
ไว้	wáj	to put in place; trust; to preserve	เจ้าหน้าที่ตำรวจได้ตั้งข้อหาผู้ต้องหาว่าฆ่าผู้อื่นตายโดยไตร่ตรองไว้ก่อน
